Name,Usage,Shared,Wins,Losses,Win Rate
Flutter Mane,2953,61.47,7811,7383,0.51
Tornadus,1736,36.24,4315,4400,0.50
Rapid Strike Urshifu,2071,43.11,5501,5246,0.51
Rillaboom,1327,27.66,3498,3359,0.51
Chi-Yu,721,15.09,1951,1752,0.53
Landorus Therian,1041,21.69,2825,2591,0.52
Iron Hands,1305,27.14,3506,3289,0.52
Urshifu,616,12.85,1542,1546,0.50
Heatran,1401,29.21,3664,3535,0.51
Dondozo,290,6.61,866,712,0.55
Tatsugiri,203,4.95,592,475,0.55
Glimmora,123,3.55,334,290,0.54
Gholdengo,985,20.86,2685,2436,0.52
Thundurus,362,8.02,892,957,0.48
Iron Bundle,294,6.78,689,722,0.49
Ursaluna,676,14.29,1824,1705,0.52
Maushold,114,3.25,240,294,0.45
Annihilape,115,3.36,267,317,0.46
Grimmsnarl,443,9.58,992,1150,0.46
Hisuian Goodra,333,7.53,722,884,0.45
Kleavor,65,2.57,163,188,0.46
Farigiraf,419,9.24,1099,1049,0.51
Abomasnow,65,2.65,144,163,0.47
Baxcalibur,84,2.63,220,229,0.49
Scizor,47,1.97,119,138,0.46
Perrserker,14,0.88,41,48,0.46
Indeedee ♀,399,8.64,996,1037,0.49
Armarouge,217,4.99,520,552,0.49
Roaring Moon,89,2.68,252,216,0.54
Sudowoodo,1,6.25,1,4,0.20
Kingambit,143,3.63,316,369,0.46
Cresselia,725,15.15,1842,1837,0.50
Amoonguss,1398,29.19,3892,3441,0.53
Chien-Pao,1480,30.81,3841,3733,0.51
Dragonite,844,17.72,2088,2185,0.49
Sneasler,109,2.91,219,282,0.44
Enamorus,28,1.41,52,68,0.43
Hisuian Zoroark,37,1.85,84,111,0.43
Galarian Moltres,223,5.43,562,567,0.50
Volcarona,71,2.30,190,174,0.52
Mimikyu,106,3.15,274,272,0.50
Regidrago,199,4.89,535,496,0.52
Overqwil,18,1.13,43,47,0.48
Thundurus Therian,114,3.17,245,289,0.46
Pelipper,270,6.12,721,671,0.52
Basculegion,305,6.62,798,759,0.51
Hisuian Lilligant,218,4.97,545,548,0.50
Torkoal,314,6.98,770,803,0.49
Zapdos,225,5.35,568,573,0.50
Talonflame,41,1.56,94,104,0.47
Gyarados,167,4.19,416,426,0.49
Dragapult,158,4.16,414,405,0.51
Wash Rotom,21,1.25,54,60,0.47
Tyranitar,27,1.42,72,70,0.51
Houndstone,6,3.24,15,18,0.45
Umbreon,9,0.84,11,27,0.29
Spectrier,103,2.92,195,255,0.43
Landorus,162,4.03,438,413,0.51
Regieleki,171,4.48,395,440,0.47
Hisuian Arcanine,374,8.17,919,929,0.50
Gastrodon,281,6.31,666,700,0.49
Great Tusk,45,1.89,97,107,0.48
Palafin,49,2.12,123,130,0.49
Arcanine,120,3.37,312,313,0.50
Ting-Lu,96,2.93,237,275,0.46
Hisuian Typhlosion,29,1.78,54,81,0.40
Brute Bonnet,73,2.70,141,196,0.42
Lycanroc,8,2.00,19,20,0.49
Golduck,1,5.88,3,3,0.50
Tatsugiri Stretchy Form,39,1.72,128,98,0.57
