losses,name,players,usage,wins
23,Flutter Mane,16,10,22
18,Tornadus,16,8,20
18,Rapid Strike Urshifu,16,7,13
11,Rillaboom,16,5,14
7,Chi-Yu,16,4,12
9,Landorus Therian,16,4,9
10,Iron Hands,16,4,6
7,Urshifu,16,3,7
6,Heatran,16,3,9
3,Dondozo,16,2,6
3,Tatsugiri,16,2,6
2,Glimmora,16,2,8
3,Gholdengo,16,2,7
5,Thundurus,16,2,4
4,Iron Bundle,16,2,4
3,Ursaluna,16,2,5
6,Maushold,16,2,4
6,Annihilape,16,2,4
5,Grimmsnarl,16,2,4
5,Hisuian Goodra,16,2,4
3,Kleavor,16,1,1
3,Farigiraf,16,1,0
2,Abomasnow,16,1,1
2,Baxcalibur,16,1,1
2,Scizor,16,1,1
2,Perrserker,16,1,1
1,Indeedee ♀,16,1,2
1,Armarouge,16,1,2
1,Roaring Moon,16,1,2
4,Sudowoodo,16,1,1
4,Kingambit,16,1,1
2,Cresselia,16,1,3
2,Amoonguss,16,1,3
4,Chien-Pao,16,1,1
4,Dragonite,16,1,1
3,Sneasler,16,1,1
3,Enamorus,16,1,1
3,Hisuian Zoroark,16,1,1
2,Galarian Moltres,16,1,3
2,Volcarona,16,1,3
1,Mimikyu,16,1,4
1,Regidrago,16,1,4
4,Overqwil,16,1,1
4,Thundurus Therian,16,1,1
4,Pelipper,16,1,1
4,Basculegion,16,1,1
20,Flutter Mane,17,10,21
13,Tornadus,17,7,15
14,Landorus Therian,17,6,9
10,Iron Hands,17,6,14
10,Chien-Pao,17,6,15
10,Amoonguss,17,5,10
11,Chi-Yu,17,5,8
10,Heatran,17,5,10
8,Rapid Strike Urshifu,17,4,7
6,Ursaluna,17,4,11
8,Cresselia,17,4,8
5,Urshifu,17,3,6
6,Hisuian Lilligant,17,3,9
6,Torkoal,17,3,9
7,Rillaboom,17,3,4
3,Gholdengo,17,2,6
3,Dragonite,17,2,7
3,Armarouge,17,2,8
3,Indeedee ♀,17,2,8
6,Zapdos,17,2,3
4,Farigiraf,17,2,1
5,Sneasler,17,2,5
3,Talonflame,17,1,0
1,Grimmsnarl,17,1,4
1,Gyarados,17,1,4
2,Galarian Moltres,17,1,4
2,Dragapult,17,1,1
2,Wash Rotom,17,1,1
4,Tyranitar,17,1,0
4,Houndstone,17,1,0
2,Roaring Moon,17,1,2
2,Basculegion,17,1,0
3,Dondozo,17,1,1
3,Tatsugiri,17,1,1
2,Umbreon,17,1,2
2,Regidrago,17,1,2
16,Iron Hands,17,6,19
9,Gholdengo,17,4,11
11,Pelipper,17,4,11
9,Thundurus,17,4,5
8,Iron Bundle,17,4,11
8,Grimmsnarl,17,3,10
7,Spectrier,17,3,7
6,Urshifu,17,3,3
8,Dondozo,17,3,11
7,Hisuian Lilligant,17,3,8
9,Landorus,17,3,10
6,Basculegion,17,3,6
8,Regieleki,17,3,10
5,Roaring Moon,17,3,8
6,Galarian Moltres,17,2,5
6,Hisuian Arcanine,17,2,4
6,Gastrodon,17,2,5
5,Tatsugiri,17,2,8
5,Dragapult,17,2,6
4,Torkoal,17,2,8
3,Great Tusk,17,2,4
3,Talonflame,17,2,4
4,Indeedee ♀,17,2,7
4,Armarouge,17,2,7
6,Sneasler,17,2,3
3,Palafin,17,2,3
3,Arcanine,17,2,3
4,Enamorus,17,2,4
3,Ting-Lu,17,2,3
6,Hisuian Typhlosion,17,2,4
5,Chi-Yu,17,2,7
2,Wash Rotom,17,1,4
2,Kingambit,17,1,4
3,Brute Bonnet,17,1,5
3,Lycanroc,17,1,2
3,Tyranitar,17,1,2
3,Golduck,17,1,3
3,Tatsugiri Stretchy Form,17,1,3
3,Scream Tail,17,1,3
3,Murkrow,17,1,0
3,Garganacl,17,1,0
3,Gallade,17,1,0
3,Hariyama,17,1,0
3,Iron Valiant,17,1,4
3,Hisuian Goodra,17,1,4
1,Abomasnow,17,1,0
1,Hatterene,17,1,5
1,Ursaluna,17,1,5
2,Gyarados,17,1,5
2,Glimmora,17,1,6
22,Flutter Mane,19,9,25
18,Rapid Strike Urshifu,19,8,23
17,Heatran,19,7,15
13,Ursaluna,19,7,14
17,Tornadus,19,7,20
8,Amoonguss,19,5,10
10,Rillaboom,19,5,20
10,Chi-Yu,19,5,20
11,Iron Hands,19,4,4
6,Urshifu,19,3,4
5,Indeedee ♀,19,3,8
10,Dondozo,19,3,8
10,Tatsugiri,19,3,8
8,Cresselia,19,3,6
6,Abomasnow,19,2,2
3,Grimmsnarl,19,2,1
4,Armarouge,19,2,3
6,Chien-Pao,19,2,6
8,Ting-Lu,19,2,4
4,Iron Bundle,19,2,8
2,Landorus,19,1,1
2,Pelipper,19,1,1
2,Articuno,19,1,0
0,Murkrow,19,1,6
3,Gyarados,19,1,3
4,Kingambit,19,1,2
1,Gallade,19,1,5
1,Torkoal,19,1,5
3,Misdreavus,19,1,1
3,Azumarill,19,1,1
3,Enamorus Therian,19,1,1
